범죄분류,14세미만,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26_30세,31_35세,36_40세,41_45세,46_50세,51_55세,56_60세,61_70세,71세이상,미상
절도,8,3785,5081,5138,3486,2510,2193,1961,1921,2103,2049,1961,1906,7572,7077,7160,7229,8574,8866,8934,10152,6380,610
장물,0,31,52,130,139,91,82,73,73,45,54,52,56,238,364,363,291,276,237,234,190,32,28
사기,7,353,770,1267,1845,1983,3120,3374,3204,3333,3503,3776,3802,15406,18257,21740,25680,30927,29246,24299,17354,3365,6511
횡령,1,113,176,371,415,348,322,275,291,307,332,401,357,1873,2539,3230,4037,4889,4741,4174,4068,1732,1323
배임,0,0,0,1,0,0,1,9,5,3,11,14,26,145,377,788,1089,1464,1557,1614,1372,499,1094
손괴,1,77,120,174,235,348,472,345,447,471,555,580,631,2512,3105,3547,3998,4878,4539,3648,3078,1280,444
살인,1,1,1,0,11,4,12,8,11,8,10,14,19,69,75,86,100,122,124,112,95,42,61
강도,0,9,33,70,69,63,51,39,20,47,29,46,26,156,178,160,120,135,101,62,44,11,28
방화,0,27,29,36,16,10,12,7,10,12,18,17,7,60,69,105,143,202,189,157,100,36,1
성폭력,5,345,561,691,711,770,734,625,655,832,864,997,954,3788,3499,3109,2917,2965,2584,2187,2021,820,203
폭행,1,952,1573,2085,2710,4196,4730,3898,4049,4708,4843,4891,4654,18179,20770,22855,24809,27713,26056,21705,16885,5038,1699
상해,4,681,1090,1278,1589,1877,1737,1319,1360,1512,1577,1541,1419,5718,6447,6803,7506,8566,7983,6502,5319,1832,455
협박,3,65,125,145,147,141,160,139,114,167,185,202,239,1079,1472,1870,2160,2685,2289,1905,1503,362,306
공갈,0,272,379,398,341,207,181,127,113,95,69,75,72,329,431,438,412,423,414,311,255,67,118
약취와유인,0,1,0,8,7,7,12,7,1,5,2,5,10,23,28,44,28,20,20,22,33,7,9
체포와감금,0,17,42,53,67,61,81,56,76,56,75,57,67,215,253,266,251,325,241,188,138,37,149
"폭력행위등(손괴,강요,주거침입등)",2,81,123,115,86,68,64,45,51,66,70,76,76,208,211,209,240,316,280,235,171,76,118
"폭력행위등(단체등의구성,활동)",0,2,5,12,11,16,26,37,19,43,30,17,23,126,104,47,40,24,11,6,1,0,18
통화,1,2,6,1,10,0,2,4,2,5,2,2,6,21,11,4,1,362,61,6,18,3,33
유가증권·인지·우표,0,0,1,2,0,1,0,2,0,0,1,0,0,2,11,30,35,58,74,85,66,10,28
문서,0,19,106,307,628,696,107,105,102,121,130,134,211,882,1198,1348,1731,2098,2034,2014,1727,714,1557
인장,0,0,3,1,6,4,1,0,0,6,3,3,4,27,52,38,60,69,85,96,73,25,45
직무유기,0,0,0,0,3,0,0,0,0,1,1,2,0,33,56,91,108,126,143,107,22,6,1364
직권남용,0,0,0,1,0,0,0,0,0,1,1,5,7,43,59,76,96,141,135,116,47,6,1441
수뢰,0,0,0,0,0,0,0,0,0,0,0,0,1,9,25,68,125,205,228,260,108,18,210
증뢰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,80,103,138,89,100,12,108
도박과복표,0,1,5,10,27,43,55,75,103,182,188,285,279,1643,2073,2095,2084,2861,3743,4148,3131,558,329
신앙,0,0,0,0,0,0,0,1,0,0,2,2,0,11,9,27,42,49,70,83,131,61,38
기타음란행위,0,10,10,10,32,14,25,23,32,30,33,52,49,246,298,271,275,315,271,230,190,73,8
과실치사상,0,6,15,13,15,21,38,29,40,39,30,33,32,162,181,203,263,286,330,334,354,180,62
업무상과실치사상,0,0,0,1,3,5,5,9,16,17,16,16,37,172,338,492,770,1052,977,744,534,88,149
실화,0,19,11,11,22,10,11,17,12,12,29,26,21,107,120,153,204,255,279,265,287,201,5
명예,2,104,182,322,371,536,624,517,449,459,524,554,475,1995,2004,2391,2819,3406,3588,3512,3500,1229,2948
권리행사방해,1,9,23,29,32,15,13,17,38,68,83,129,128,675,1395,1807,1867,1993,1839,1439,1115,258,283
신용업무경매,0,7,15,25,22,68,100,102,100,115,150,151,169,1047,1758,2349,3351,5022,5219,4360,3433,837,909
주거침입,1,54,68,71,111,130,87,110,124,137,166,161,190,778,908,972,1146,1424,1425,1285,1059,392,246
비밀침해,0,0,0,0,0,1,0,0,0,0,1,0,0,4,8,9,16,9,11,12,8,5,33
유기,0,0,1,2,3,3,1,2,2,1,6,2,9,23,33,34,31,24,28,15,14,6,7
교통방해,0,0,0,0,0,0,2,2,2,4,6,3,4,39,35,100,177,231,303,307,359,126,35
공무방해,0,6,26,40,74,113,150,134,164,181,217,204,233,988,1319,1671,2000,2410,2061,1479,970,205,161
도주와범인은닉,0,1,1,6,9,15,22,18,22,20,12,25,28,117,110,103,96,68,58,40,31,7,171
위증과증거인멸,0,0,0,6,4,9,13,14,15,14,12,16,22,107,196,266,364,502,547,579,584,235,918
무고,0,3,9,9,13,20,25,47,59,49,37,44,53,283,300,429,575,728,871,885,927,435,1174
공안을해하는죄,0,0,0,2,0,5,0,1,5,8,4,6,8,63,42,21,14,7,8,10,12,4,39
내란의죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,40
음용수에관한죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,8,3,1
일수와수리에관한죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,0,0
기타,0,0,0,1,0,1,0,2,3,0,0,1,4,12,4,6,5,7,4,6,3,3,12
가정폭력범죄의처벌등에관한특례법,0,0,0,0,0,0,1,0,0,1,3,0,0,4,9,27,29,25,39,27,16,11,0
가축분뇨의관리및이용에관한법률,0,0,0,0,0,0,0,0,0,1,2,1,0,4,18,30,61,100,175,194,236,60,19
감염병의예방및관리에관한법률,0,0,0,0,1,0,3,6,5,5,2,1,4,6,22,36,39,24,33,19,10,0,3
개발제한구역의지정및관리에관한특별조치법,0,0,0,0,0,1,0,0,0,1,0,1,2,12,26,64,73,171,245,352,357,178,108
개인정보보호법,0,0,2,2,5,1,4,9,7,12,12,16,19,92,162,194,212,243,263,173,162,38,237
건강기능식품에관한법률,0,0,0,0,0,0,2,2,0,1,6,2,5,56,77,96,126,158,126,131,79,14,7
건설기계관리법,1,0,0,0,0,0,0,1,1,0,2,3,3,22,40,71,120,122,146,123,88,7,20
건설산업기본법,0,0,0,0,0,0,0,0,0,1,0,0,2,48,156,358,598,901,1073,1064,969,155,169
건축법,0,0,0,0,0,0,0,0,0,2,3,6,6,69,201,354,562,781,1061,1070,1070,359,214
게임산업진흥에관한법률,0,3,4,8,12,65,171,168,190,205,170,163,163,800,1220,1419,1476,1337,1077,650,413,58,106
결혼중개업의관리에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,7,15,23,21,21,15,2,6
경범죄처벌법,0,3,6,13,18,27,29,37,42,47,51,51,53,306,469,663,911,1170,1197,886,533,77,10
고용보험법,0,0,0,0,0,0,0,0,2,8,19,22,31,209,419,489,573,618,616,582,467,7,19
공유수면관리및매립에관한법률,0,0,0,0,0,0,0,0,0,2,0,3,0,2,13,12,14,42,59,53,75,20,12
공유재산및물품관리법,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,11,25,20,41,37,36,7,12
공인중개사법,0,0,0,0,0,0,1,0,1,2,3,3,4,35,67,88,163,283,289,283,236,75,53
공중위생관리법,0,0,0,0,3,4,6,6,7,6,6,14,28,198,319,257,230,160,135,154,143,25,23
공직선거법,0,0,0,1,1,8,11,5,4,8,6,11,8,44,44,58,93,121,143,156,154,61,155
관세법,0,0,0,0,0,0,0,0,1,1,1,4,4,50,84,134,131,128,98,105,74,21,495
교통사고처리특례법,6,110,189,662,915,1106,1297,1083,1364,1852,2288,2533,2843,13937,14794,15630,18121,22402,24422,25627,28833,8736,234
국가기술자격법,0,0,0,0,0,0,0,0,0,1,1,0,0,8,33,44,66,66,51,58,31,9,34
국가보안법,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,11,7,10,6,10,4,3,5
국민체육진흥법,0,0,1,2,2,1,12,7,17,15,26,39,35,209,186,154,46,14,11,4,2,0,15
국토의계획및이용에관한법률,0,0,0,0,0,0,0,0,0,1,0,0,1,21,53,115,204,282,371,417,467,156,80
근로기준법,0,0,0,1,2,0,4,3,17,10,21,42,44,658,1966,3673,5961,8189,7914,6216,3893,623,448
근로자퇴직급여보장법,1,0,0,0,0,0,0,0,0,1,0,4,3,93,341,849,1386,1998,1984,1520,1084,239,62
낚시관리및육성법,0,0,0,0,0,0,0,0,0,0,0,1,1,6,11,28,19,31,31,32,36,6,1
노동조합및노동관계조정법,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,21,65,114,178,163,153,32,177
농수산물유통및가격안정에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,7,8,16,4,1,3
농수산물의원산지표시에관한법률,0,0,0,0,0,1,0,0,1,1,8,9,14,114,276,403,515,612,649,513,347,42,44
농지법,0,0,0,0,0,0,0,0,1,0,0,1,1,17,19,51,67,120,206,251,291,131,98
대기환경보전법,0,0,0,2,0,0,0,0,0,0,0,3,2,26,91,172,351,547,605,523,361,48,159
대부업등의등록및금융이용자보호에관한법률,1,0,0,1,4,1,14,22,39,29,41,66,73,396,459,305,211,158,138,108,103,23,105
도로교통법,2,12,40,215,258,242,252,208,191,267,297,347,328,1574,1669,1645,1783,2015,1909,1692,1576,732,68
도로교통법(무면허운전),9,279,923,1295,1090,768,520,453,418,469,591,646,720,3958,4899,4746,5209,6044,5880,4807,3674,1410,67
도로교통법(사고후미조치),0,14,42,79,51,123,145,123,214,284,331,401,464,2103,2229,2398,2821,3343,3541,3280,3573,1445,580
도로교통법(음주운전),3,4,9,79,189,387,617,700,1095,1976,2751,3549,4194,23462,26632,25432,25072,24419,18393,12423,7537,1176,54
도로교통법(음주측정거부),0,0,1,0,1,4,3,6,15,11,26,28,21,217,295,366,371,485,416,303,156,37,1
도로법,1,0,0,0,1,2,0,1,1,3,0,6,5,61,103,205,345,441,495,436,285,50,82
도시및주거환경정비법,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,22,54,100,102,158,210,129,91
독점규제및공정거래에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,2,2,5,0,17
디자인보호법,0,0,0,0,0,0,0,0,0,0,0,0,1,18,27,49,27,44,41,35,20,6,86
마약류관리에관한법률(대마),0,0,1,2,4,9,21,20,26,24,42,48,50,221,182,149,93,102,76,45,59,31,110
마약류관리에관한법률(마약),0,0,0,1,1,0,0,0,1,2,0,4,1,16,19,15,38,53,81,145,383,543,43
마약류관리에관한법률(향정),0,0,2,2,8,13,22,36,55,68,89,110,133,709,885,1233,1125,1209,875,425,185,20,496
물환경보전법,0,0,0,0,0,1,0,0,1,0,0,0,1,8,45,61,98,173,213,201,154,28,55
배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,0,0,0,0,0,0,1,1,1,0,0,1,1,20,32,32,52,56,27,7,2,0,115
범죄수익은닉의규제및처벌등에관한법률,0,0,0,0,0,0,0,0,3,3,4,5,0,10,17,27,24,25,43,36,26,4,61
변호사법,0,0,0,0,0,0,0,0,0,0,0,1,0,8,38,77,124,153,152,137,87,30,241
병역법,0,0,0,0,0,0,135,378,319,460,889,1262,1321,1746,296,65,11,54,64,39,9,0,13
보조금관리에관한법률,0,0,0,0,0,1,6,3,2,2,3,3,15,44,99,146,229,259,256,268,241,77,38
부동산실권리자명의등기에관한법률,0,0,0,0,0,0,0,0,1,1,1,0,2,23,34,61,111,171,198,169,194,115,104
부정경쟁방지및영업비밀보호에관한법률,0,0,0,0,0,0,0,0,2,1,3,10,2,54,122,150,168,141,96,65,29,5,73
부정수표단속법,0,0,0,0,0,0,1,0,0,3,0,0,0,14,15,37,62,144,288,261,279,35,39
사행행위등규제및처벌특례법,0,0,0,0,0,1,2,1,4,11,8,4,9,27,60,86,88,115,77,56,22,0,19
산림자원의조성및관리에관한법률,0,0,0,0,0,0,0,0,1,1,0,1,2,10,14,29,67,123,165,189,228,91,31
산업안전보건법,0,0,0,0,0,0,0,0,0,0,1,1,1,49,104,429,1007,1822,1741,1121,613,71,325
산지관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,71,197,332,505,634,767,323,48
상표법,0,0,0,2,2,1,6,5,4,13,24,52,33,352,566,579,631,548,479,439,315,46,379
석유및석유대체연료사업법,0,0,0,0,0,0,0,0,1,0,3,3,4,23,101,165,200,240,191,146,132,24,19
선박안전법,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,10,21,30,54,84,127,15,6
선박직원법,0,0,0,0,0,0,0,1,0,0,0,0,0,2,15,8,22,24,31,39,48,8,2
성매매알선등행위의처벌에관한법률,2,7,20,35,62,135,269,327,445,525,607,686,704,3621,3830,3103,2092,1587,1182,931,741,209,186
수도법,0,0,0,0,0,1,0,0,1,1,1,5,2,7,21,23,20,21,24,30,35,7,25
수산업법,0,0,0,0,0,0,0,0,0,0,0,2,2,5,34,49,101,209,353,368,370,35,14
수산자원관리법,0,0,0,0,0,0,0,0,0,0,0,1,0,21,44,84,169,245,354,388,417,97,0
식품위생법,0,0,1,2,3,6,14,17,35,34,43,51,61,485,745,1023,1318,1781,2045,1902,1576,305,187
신용정보의이용및보호에관한법률,0,0,0,0,0,0,1,0,0,0,1,2,5,15,17,18,19,10,12,9,8,1,4
"아동,청소년의성보호에관한법률(성매수등)",0,20,62,57,64,59,64,35,32,30,29,33,24,140,134,120,75,43,25,17,13,1,4
"아동,청소년의성보호에관한법률(음란물등)",0,13,18,32,26,19,31,15,16,17,22,15,8,83,72,47,36,19,17,14,5,1,7
아동복지법,0,4,10,7,12,17,23,19,34,45,52,53,76,335,498,770,990,858,374,225,89,22,17
액화석유가스의안전관리및사업법,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,19,49,50,46,31,12,5,4
약사법,0,0,0,0,1,0,3,5,4,5,6,10,23,77,155,201,184,213,245,223,279,177,54
여객자동차운수사업법,0,0,0,0,0,2,13,17,31,46,32,65,63,262,400,356,269,272,297,289,331,41,37
여신전문금융업법,0,16,21,19,23,20,30,23,14,27,20,22,22,139,166,184,245,225,234,221,195,51,93
영유아보육법,0,0,0,0,0,0,0,0,3,0,2,2,3,15,31,52,76,69,66,36,25,4,14
예비군법,0,0,0,0,0,0,0,0,2,48,232,455,706,4902,1035,166,18,3,6,7,6,0,8
옥외광고물등의관리와옥외광고산업진흥에관한법률,0,0,0,0,0,0,0,0,2,0,0,4,8,24,57,83,97,88,79,53,69,12,64
외국환거래법,0,0,0,0,0,0,0,0,0,2,3,0,4,50,87,95,89,78,67,57,54,18,240
위험물안전관리법,0,0,0,0,0,0,0,0,0,0,0,1,1,11,30,56,78,114,142,137,88,10,12
유사수신행위의규제에관한법률,0,0,0,0,0,0,0,0,2,1,2,6,5,79,153,202,204,342,409,416,334,49,136
의료기기법,0,0,0,0,0,0,0,0,0,0,3,1,1,20,44,62,78,93,66,66,56,10,103
의료법,0,0,0,3,6,5,15,24,23,38,41,53,62,401,622,773,814,877,644,465,361,142,228
자동차관리법,0,1,0,70,99,92,133,152,163,229,297,372,380,1738,2521,3201,3481,3850,3602,3060,2166,405,562
자동차손해배상보장법,0,2,20,198,203,145,212,254,226,272,348,424,465,2367,3682,4294,5131,6736,6226,4871,3239,754,839
자본시장과금융투자업에관한법률,0,0,0,0,0,0,0,0,1,1,3,2,5,42,57,61,65,77,48,40,25,4,197
저작권법,3,4,11,24,37,49,88,107,87,110,153,160,169,959,1184,1277,1214,1167,950,678,487,91,3554
전자금융거래법,0,2,20,58,46,148,493,553,527,604,609,652,580,2452,2604,2404,2371,2167,1656,1266,636,79,249
전파법,0,0,0,0,0,0,0,2,0,3,3,8,2,36,81,105,123,99,77,57,30,0,9
정보통신망이용촉진및정보보호등에관한법률,18,61,95,154,166,187,225,340,238,272,321,342,332,1475,1493,1345,1155,1018,800,668,471,91,997
조세범처벌법,3,0,0,0,0,0,1,1,6,3,3,8,13,96,297,525,794,798,753,584,416,109,353
주민등록법,0,15,61,213,310,244,35,17,20,16,16,15,14,83,118,121,145,145,153,152,95,29,61
주차장법,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,16,45,61,67,64,110,49,4
주택법,2,0,0,0,0,0,0,0,0,1,2,6,9,34,130,175,358,395,332,305,214,91,161
직업안정법,0,0,0,2,0,0,1,2,5,7,9,5,10,42,108,108,123,118,109,66,43,0,35
집회및시위에관한법률,0,0,0,0,0,0,4,2,4,4,5,1,5,15,36,34,94,97,78,44,33,9,13
청소년보호법,0,10,69,148,287,340,330,239,186,226,185,156,113,561,642,786,1140,1534,1701,1531,1099,298,17
"총포,도검,화약류등의안전관리에관한법률",0,0,0,0,0,0,0,1,0,0,2,0,1,4,1,10,6,8,8,7,6,1,0
최저임금법,0,0,0,0,0,0,0,0,0,0,0,1,1,10,35,44,46,54,61,60,53,21,4
축산물위생관리법,0,0,0,0,0,0,0,0,0,1,0,5,7,43,125,178,222,287,225,219,161,33,40
출입국관리법,0,0,0,1,2,6,9,14,20,16,39,43,53,270,340,434,402,458,426,323,212,35,67
통신비밀보호법,0,0,0,0,0,0,2,0,0,0,3,0,2,17,26,29,46,35,27,18,16,2,19
특가법(도주차량),0,2,21,29,40,40,51,47,47,69,96,102,105,546,510,531,570,658,648,645,606,230,35
특허법,0,0,0,0,0,0,0,0,0,0,2,0,0,7,27,41,51,53,55,43,18,2,54
폐기물관리법,0,0,0,0,0,0,0,0,0,0,0,0,2,33,58,175,214,321,367,388,298,63,99
풍속영업의규제에관한법률,0,0,0,0,0,1,1,2,2,1,5,7,8,29,40,39,27,45,39,25,23,3,4
하천법,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,18,20,29,53,60,68,17,7
학교보건법,0,0,0,0,0,0,0,0,0,1,0,0,0,7,6,7,12,15,10,10,11,2,1
학원의설립운영및과외교습에관한법률,0,0,0,0,0,1,0,0,1,0,3,4,2,40,73,116,147,105,41,17,7,2,1
화물자동차운수사업법,0,0,0,0,0,0,1,2,4,9,15,8,27,137,183,319,435,493,426,358,288,43,24
화재로인한재해보상과보험가입에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"화재예방,소방시설설치유지및안전관리에관한법률",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,7,6,6,8,0
화학물질관리법,0,38,39,53,48,23,19,19,6,3,12,6,3,19,28,72,85,114,100,74,55,16,12
기타특별법,3,30,46,77,85,121,257,299,324,440,485,574,663,3204,4072,4992,6001,7728,8294,7458,5779,1458,2779
