"죄종별(1)",죄종별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"죄종별(1)",죄종별(2),계,남자,남자,남자,남자,남자,남자,남자,남자,남자,여자,여자,여자,여자,여자,여자,여자,여자,여자
"죄종별(1)",죄종별(2),계,계,20세이하,21-30세,31-40세,41-50세,51-60세,61-70세,71세이상,미상,계,20세이하,21-30세,31-40세,41-50세,51-60세,61-70세,71세이상,미상
"계",소계,1494421,1174763,84696,193314,199230,243182,268053,138621,46441,1226,319658,18347,46115,53613,69783,76863,38332,13266,3339
"강력범죄",소계,26971,25628,2707,5908,4746,4553,4524,2285,889,16,1343,190,270,231,262,227,117,35,11
"강력범죄",살인기수,341,256,6,27,41,50,74,44,14,-,85,2,18,14,16,19,12,4,-
"강력범죄",살인미수등,454,376,11,60,59,77,97,52,19,1,78,4,22,15,14,12,6,4,1
"강력범죄",강도,1202,1026,337,239,190,117,100,34,9,-,176,80,22,16,25,20,7,4,2
"강력범죄",강간,6113,6010,896,1915,1341,808,634,306,104,6,103,23,18,13,20,15,9,3,2
"강력범죄",유사강간,934,891,145,290,139,125,120,59,13,-,43,9,10,12,6,4,1,-,1
"강력범죄",강제추행,16382,15727,1105,3220,2813,3111,3148,1640,681,9,655,61,151,124,141,99,60,14,5
"강력범죄",기타 강간·강제추행등,349,335,91,72,50,44,42,25,11,-,14,3,3,1,1,4,1,1,-
"강력범죄",방화,1196,1007,116,85,113,221,309,125,38,-,189,8,26,36,39,54,21,5,-
"절도범죄",소계,98425,72665,17205,10232,8754,9666,12225,8607,5936,40,25760,2497,2752,2791,3781,5447,4842,3620,30
"폭력범죄",소계,313990,258549,21075,41985,43803,56628,58958,27230,8648,222,55441,5410,9981,9953,11104,11083,5466,2226,218
"폭력범죄",상해,43552,36148,2574,5596,6084,8076,8510,3982,1303,23,7404,525,1093,1266,1548,1663,901,393,15
"폭력범죄",폭행,178448,145426,8992,23298,25040,32896,34284,15892,4913,111,33022,2733,6560,6324,6747,6364,3074,1172,48
"폭력범죄",체포·감금,1695,1416,215,312,273,249,242,98,25,2,279,22,34,46,59,79,26,12,1
"폭력범죄",협박,22507,19640,856,2229,3295,4873,5436,2293,639,19,2867,180,392,619,681,617,257,83,38
"폭력범죄",약취·유인,296,207,26,60,36,30,30,18,7,-,89,11,16,23,11,12,15,1,-
"폭력범죄",폭력행위등,25342,19982,5688,5159,3101,2705,2192,888,212,37,5360,1592,1006,612,720,859,378,119,74
"폭력범죄",공갈,3434,2847,1020,462,416,365,372,169,31,12,587,114,79,127,118,83,39,10,17
"폭력범죄",손괴,38716,32883,1704,4869,5558,7434,7892,3890,1518,18,5833,233,801,936,1220,1406,776,436,25
"지능범죄",소계,307706,237060,18926,41684,37370,51554,56346,24570,6138,472,70646,4146,10108,10921,15216,17959,8717,2142,1437
"지능범죄",직무유기,947,681,-,44,131,154,249,29,5,69,266,1,26,54,62,35,1,-,87
"지능범죄",직권남용,1021,784,-,75,151,227,248,42,4,37,237,-,21,28,45,28,12,-,103
"지능범죄",증수뢰,807,690,-,5,52,236,285,88,16,8,117,1,2,14,32,43,22,-,3
"지능범죄",통화,86,72,6,16,9,5,32,2,2,-,14,-,2,3,1,2,2,3,1
"지능범죄",문서·인장,15465,11278,925,1075,1638,2343,2935,1710,625,27,4187,578,338,526,849,1037,549,182,128
"지능범죄",유가증권인지,117,95,-,-,12,16,37,23,7,-,22,-,-,3,3,6,6,3,1
"지능범죄",사기,245009,189681,16669,37553,30603,40732,43340,17226,3294,264,55328,3079,8752,8882,11941,14157,6419,1192,906
"지능범죄",횡령,35930,27105,1320,2749,4005,6104,6962,4191,1729,45,8825,485,867,1211,1875,2145,1425,680,137
"지능범죄",배임,8324,6674,6,167,769,1737,2258,1259,456,22,1650,2,100,200,408,506,281,82,71
"풍속범죄",소계,34671,31078,3136,7115,5803,4966,6099,3266,683,10,3593,177,273,315,389,1183,1008,237,11
"풍속범죄",성풍속범죄,13546,12957,2806,4271,2597,1592,1048,446,189,8,589,172,149,90,88,58,22,4,6
"풍속범죄",도박범죄,21125,18121,330,2844,3206,3374,5051,2820,494,2,3004,5,124,225,301,1125,986,233,5
"특별경제범죄",소계,67904,50432,1176,6227,9062,12646,13760,6155,1316,90,17472,474,2528,3307,4332,4252,1816,480,283
"마약범죄",소계,11630,8403,197,2203,2070,1878,1225,469,360,1,3227,172,808,644,370,274,360,598,1
"보건범죄",소계,21810,10662,92,1173,2596,2668,2401,1316,387,29,11148,147,1624,2196,2394,3100,1372,275,40
"환경범죄",소계,4329,4011,1,72,444,966,1607,771,149,1,318,-,2,33,74,131,51,17,10
"교통범죄",소계,356446,292808,11932,48861,52572,56194,66548,41488,15122,91,63638,1206,8821,12450,16878,15981,6921,1349,32
"노동범죄",소계,613,480,2,36,107,127,145,58,5,-,133,-,14,30,30,42,12,-,5
"안보범죄",소계,678,575,29,310,148,49,21,12,2,4,103,-,56,25,17,2,2,-,1
"선거범죄",소계,1545,996,26,63,68,183,383,217,53,3,549,24,47,32,103,211,110,10,12
"병역범죄",소계,3164,3152,126,2604,383,20,13,5,-,1,12,-,2,-,3,5,1,1,-
"기타범죄",소계,244539,178264,8066,24841,31304,41084,43798,22172,6753,246,66275,3904,8829,10685,14830,16966,7537,2276,1248
